japanese_display_name,video_url,japanese_names,english_names
Soto Makikomi,https://www.youtube.com/watch?v=BcfGFR1CWss,Soto Makikomi,Outer Wrap Around
Sukui Nage,https://www.youtube.com/watch?v=sn13Bu3bxHE,Sukui Nage,Scoop Throw
Sumi Gaeshi,https://www.youtube.com/watch?v=4LR49U48iyw,Sumi Gaeshi,Corner Reversal
Sumi Otoshi,https://www.youtube.com/watch?v=CL6tPu1Khc4,Sumi Otoshi,Corner Drop
Sutemi Waza,https://www.youtube.com/watch?v=XHuqFd1BHbE,Sutemi Waza,Sacrifice Techniques
Tachi Waza,,Tachi Waza,Standing Techniques
Tai Otoshi,https://www.youtube.com/watch?v=DUiZ8JZkGx8,Tai Otoshi,Body Drop
Tani Otoshi,https://www.youtube.com/watch?v=wS9pM3y8YH4,Tani Otoshi,Valley Drop
Tate Shiho Gatame,https://youtu.be/XjWzNxlKH1M,Tate Shiho Gatame,"Full Mount,Straight four-corner hold"
Tawara Gaeshi,https://www.youtube.com/watch?v=zORVnrrPnmM,Tawara Gaeshi,Rice Bale Reversal
Te Waza,https://www.youtube.com/watch?v=FqbdGHcDqDE,Te Waza,Hand Techniques (Throwing)
Tomoe Nage,https://www.youtube.com/watch?v=-euJliq9XcY,Tomoe Nage,Circle Throw
Tsubame Gaeshi,https://www.youtube.com/watch?v=m_HEibNx3Gw,Tsubame Gaeshi,Swallows Flight Reversal
Tsukkomi Jime,https://www.youtube.com/watch?v=p-MRoVb161c,Tsukkomi Jime,Thrusting Strangle
Tsukuri,,Tsukuri,The act of turning in and fitting into the throw
Tsuri Goshi,https://www.youtube.com/watch?v=_rag76pFL9U,Tsuri Goshi,Lifting Hip
Tsurikomi Goshi,https://www.youtube.com/watch?v=4HJumX7ArOI,Tsurikomi Goshi,Lifting Pulling Hip
Uchi Makikomi,https://www.youtube.com/watch?v=-1DeK0IDOg8,Uchi Makikomi,Inner Wraparound
Uchi Mata,https://www.youtube.com/watch?v=7fCvyc_rQTI,Uchi Mata,Inner Thigh Throw
Uchi Mata Gaeshi,https://www.youtube.com/watch?v=rzOSmEiuVtg,Uchi Mata Gaeshi,Inner Thigh Reap
Uchi Mata Makikomi,https://www.youtube.com/watch?v=-1DeK0IDOg8,Uchi Mata Makikomi,Inner Thigh Wrap Around
Uchi Mata Sukashi,https://www.youtube.com/watch?v=0Fpw60A1_pw,Uchi Mata Sukashi,Hand Technique
Ude Garami,https://www.youtube.com/watch?v=3z67tCt3b00,Ude Garami,"Americana,Entangled Armlock,Kimura"
Ude Hishigi Ashi Gatame,https://www.youtube.com/watch?v=k29RryetGSc,Ude Hishigi Ashi Gatame,"Leg Lock,Side-lying Armbar"
Ude Hishigi Hara Gatame,https://www.youtube.com/watch?v=rAYXWLoKvoE,Ude Hishigi Hara Gatame,Stomach Lock
Ude Hishigi Hiza Gatame,https://www.youtube.com/watch?v=xoMx9_pWRe4,Ude Hishigi Hiza Gatame,"Knee Armbar,Straight Armbar"
Ude Hishigi Juji Gatame,https://www.youtube.com/watch?v=WJReT5ND3s4,Ude Hishigi Juji Gatame,"Armbar,Cross Lock"
Ude Hishigi Sankaku Gatame,https://www.youtube.com/watch?v=QmmliwIaee0,Ude Hishigi Sankaku Gatame,Triangular Lock
Ude Hishigi Te Gatame,https://www.youtube.com/watch?v=5D-W1SVIK4A,Ude Hishigi Te Gatame,Hand Lock
Ude Hishigi Ude Gatame,https://www.youtube.com/watch?v=DNoXiXFtNjc,"Ude Hishigi Ude Gatame,Ude Gatame","Armlock,Straight Armbar"
Ude Hishigi Waki Gatame,https://www.youtube.com/watch?v=qWnSfAUfR1o,Ude Hishigi Waki Gatame,Armpit Lock
Ukemi,https://www.youtube.com/watch?v=5n_Qjeia2n8,Ukemi,Breakfall
Uki Gatame,https://www.youtube.com/watch?v=iQMvn-WbWg0,Uki Gatame,Floating hold
Uki Goshi,https://www.youtube.com/watch?v=5jVF6r366Kg,Uki Goshi,Floating Hip
Uki Otoshi,https://www.youtube.com/watch?v=d8Cmcfvh7M8,Uki Otoshi,Floating Drop
Uki Waza,https://www.youtube.com/watch?v=JtB79Ma4htw,Uki Waza,Floating Technique
Ura Gatame,https://www.youtube.com/watch?v=GmUX_4PMBt0,Ura Gatame,Back hold
Ura Nage,https://www.youtube.com/watch?v=4hzlipey14I,Ura Nage,"Rear Throw,Suplex"
Ushiro Goshi,https://www.youtube.com/watch?v=sqQ4tr3iERE,Ushiro Goshi,Rear Hip Throw
Ushiro Kesa Gatame,https://youtu.be/wL1QrvYbyjo,Ushiro Kesa Gatame,Reverse Scarf Hold
Utsuri Goshi,https://www.youtube.com/watch?v=E81rR10wfXU,Utsuri Goshi,Changing Hip Throw
